TA_ID,TAMBON_T,TAMBON_E,AM_ID,LAT,LONG
220602,ต. เกาะเปริด,Ko Proet,2206,12.424,102.109
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.548,99.705
860306,ต. ปากคลอง,Pak Khlong,8603,10.823,99.492
860801,ต. ปากตะโก,Pak Tako,8608,10.155,99.218
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.488,99.334
200408,ต. นาเกลือ,Na Kluea,2004,12.928,100.805
230601,ต. เกาะหมาก,Ko Mak,2306,11.823,102.385
840401,ต. อ่างทอง,Ang Thong,8404,9.482,99.696
840401,ต. อ่างทอง,Ang Thong,8404,9.676,99.677
840401,ต. อ่างทอง,Ang Thong,8404,9.776,99.672
210305,ต. กร่ำ,Kram,2103,12.584,101.51
860706,ต. ด่านสวี,Dan Sawi,8607,10.272,99.233
840401,ต. อ่างทอง,Ang Thong,8404,9.556,99.685
810505,ต. อ่าวลึกน้อย,Ao Luek Noi,8105,8.238,98.708
810106,ต. เขาทอง,Khao Thong,8101,8.176,98.735
921003,ต. ตะเสะ,Tase,9210,7.075,99.394
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.643,99.694
810106,ต. เขาทอง,Khao Thong,8101,8.104,98.682
860801,ต. ปากตะโก,Pak Tako,8608,10.071,99.185
850305,ต. บางหิน,Bang Hin,8503,9.595,98.469
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.653,99.833
860116,ต. หาดทรายรี,Hat Sai Ri,8601,10.319,99.3
200905,ต. แสมสาร,Samae San,2009,12.603,100.917
860116,ต. หาดทรายรี,Hat Sai Ri,8601,10.363,99.31
860706,ต. ด่านสวี,Dan Sawi,8607,10.249,99.224
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.611,99.7
830107,ต. ราไวย์,Rawai,8301,7.767,98.3
840401,ต. อ่างทอง,Ang Thong,8404,9.51,99.705
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.686,99.905
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.505,99.177
810106,ต. เขาทอง,Khao Thong,8101,8.129,98.685
210305,ต. กร่ำ,Kram,2103,12.557,101.569
830107,ต. ราไวย์,Rawai,8301,7.736,98.296
810302,ต. เกาะลันตาน้อย,Ko Lanta Noi,8103,7.576,99.142
840301,ต. ดอนสัก,Don Sak,8403,9.331,99.703
200901,ต. สัตหีบ,Sattahip,2009,12.727,100.798
810505,ต. อ่าวลึกน้อย,Ao Luek Noi,8105,8.246,98.704
840401,ต. อ่างทอง,Ang Thong,8404,9.594,99.721
820603,ต. เกาะพระทอง,Ko Phra Thong,8206,9.396,97.895
860116,ต. หาดทรายรี,Hat Sai Ri,8601,10.39,99.293
850502,ต. กำพวน,Kamphuan,8505,9.457,98.328
200408,ต. นาเกลือ,Na Kluea,2004,12.942,100.793
200901,ต. สัตหีบ,Sattahip,2009,12.612,100.876
200901,ต. สัตหีบ,Sattahip,2009,12.624,100.901
810116,ต. อ่าวนาง,Ao Nang,8101,7.616,98.863
840401,ต. อ่างทอง,Ang Thong,8404,9.641,99.675
921003,ต. ตะเสะ,Tase,9210,7.133,99.583
840501,ต. เกาะพะงัน,Ko Pha-Ngan,8405,9.802,99.979
230601,ต. เกาะหมาก,Ko Mak,2306,11.835,102.46
220205,ต. บางชัน,Bang Chan,2202,12.288,102.251
810106,ต. เขาทอง,Khao Thong,8101,8.113,98.707
920213,ต. เกาะลิบง,Ko Libong,9202,7.314,99.408
860106,ต. นาชะอัง,Na Cha-Ang,8601,10.557,99.379
810302,ต. เกาะลันตาน้อย,Ko Lanta Noi,8103,7.561,99.144
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.709,99.671
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.619,99.689
810106,ต. เขาทอง,Khao Thong,8101,8.124,98.669
810106,ต. เขาทอง,Khao Thong,8101,8.107,98.688
220602,ต. เกาะเปริด,Ko Proet,2206,12.396,102.133
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.665,99.691
921003,ต. ตะเสะ,Tase,9210,6.975,99.475
860116,ต. หาดทรายรี,Hat Sai Ri,8601,10.496,99.421
850105,ต. ปากน้ำ,Pak Nam,8501,9.92,98.535
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.729,99.66
230601,ต. เกาะหมาก,Ko Mak,2306,11.808,102.455
840301,ต. ดอนสัก,Don Sak,8403,9.352,99.683
830105,ต. รัษฎา,Radsada,8301,7.834,98.423
210305,ต. กร่ำ,Kram,2103,12.599,101.691
920501,ต. บ่อหิน,Bo Hin,9205,7.559,99.288
920213,ต. เกาะลิบง,Ko Libong,9202,7.38,99.248
910106,ต. เกาะสาหร่าย,Ko Sarai,9101,6.732,99.706
100106,แขวง เสาชิงช้า,Sao Chingcha,1001,13.753,100.5
830107,ต. ราไวย์,Rawai,8301,7.747,98.301
820603,ต. เกาะพระทอง,Ko Phra Thong,8206,8.519,97.647
100105,แขวง ศาลเจ้าพ่อเสือ,San Chaopho Suea,1001,13.754,100.497
220607,ต. บางกะไชย,Bang Kachai,2206,12.463,102.023
200905,ต. แสมสาร,Samae San,2009,12.572,100.932
230601,ต. เกาะหมาก,Ko Mak,2306,11.799,102.451
810105,ต. เขาคราม,Khao Khram,8101,8.217,98.725
200901,ต. สัตหีบ,Sattahip,2009,12.617,100.881
860116,ต. หาดทรายรี,Hat Sai Ri,8601,10.376,99.322
820603,ต. เกาะพระทอง,Ko Phra Thong,8206,8.569,97.636
920501,ต. บ่อหิน,Bo Hin,9205,7.547,99.279
850109,ต. เกาะพยาม,Ko Phayam,8501,9.717,98.423
840501,ต. เกาะพะงัน,Ko Pha-Ngan,8405,9.709,99.973
820203,ต. พรุใน,Phru Nai,8202,7.892,98.581
100108,แขวง ตลาดยอด,Talat Yot,1001,13.76,100.498
210305,ต. กร่ำ,Kram,2103,12.569,101.7
920414,ต. เกาะค้างคาว,Ko Kangkao,9204,7.152,99.651
860116,ต. หาดทรายรี,Hat Sai Ri,8601,10.323,99.28
810116,ต. อ่าวนาง,Ao Nang,8101,7.821,98.774
820603,ต. เกาะพระทอง,Ko Phra Thong,8206,9.477,97.904
810802,ต. เกาะศรีบอยา,Ko Si Boya,8108,7.801,98.995
220314,ต. คลองขุด,Khlong Khut,2203,12.512,101.95
